recordingId,trackId,frame,leadId,leadLongRSSViolated,leadLongRSS,leadLongDis,leadCarTTC,rearId,rearLongRSSViolated,rearLongRSS,rearLongDis,rearCarTTC,egoLongSpeed,leadLongSpeed,rearLongSpeed,leadCarTHW,rearCarTHW
86,752,15956,747,False,37.618576702428605,149.98888320078981,87.42987331310832,754,True,27.134529707265465,26.30678684588647,999.0,25.939208198994333,24.223674623146156,25.32540924879931,5.782323116809899,1.0387507103022902
86,752,15957,747,False,37.6927259923311,149.92325829729492,86.68510709457163,754,True,27.057862342531543,26.33174005583539,999.0,25.951743557831914,24.222227804523428,25.321207364267543,5.77700137808467,1.0399085508455603
86,752,15958,747,False,37.768137874762886,149.8571935130973,85.93809299390435,754,True,26.97889980416892,26.3415829882087,999.0,25.964346035878926,24.2205652712333,25.316634727094275,5.771652916118764,1.0404851700142241
86,752,15959,747,False,37.84421579595378,149.80486339791787,85.20520881427633,754,True,26.898358398135535,26.35328265619311,999.0,25.97705890448231,24.21889334767403,25.311860365620863,5.766813862521952,1.0411436486899528
86,752,15960,747,False,37.92017151634542,149.7373491412969,84.47688097016024,754,True,26.81598557537808,26.380071221860135,999.0,25.989740290448545,24.217215696480775,25.306722029388805,5.761402286744923,1.0424136002768294
86,752,15961,747,False,37.995432356134955,149.66908605632085,83.76705094013421,754,True,26.732247948302025,26.40793132030612,999.0,26.002351141487697,24.215621342878876,25.30127517377196,5.755982804859457,1.0437391451195057
86,752,15962,747,False,38.07038322236937,149.60059780507953,83.07106546069336,754,True,26.64750272639914,26.436245808965317,999.0,26.014896348923855,24.214021435674237,25.295590410570398,5.750574432377778,1.0450930529740974
86,752,15963,747,False,38.14457137812106,149.5310732075006,82.39184568503009,754,True,26.56096213340401,26.46552363372888,999.0,26.027293250251113,24.212416159390298,25.28945285948896,5.7451641924408685,1.046504397733486
86,752,15964,747,False,38.21773896337622,149.46140124569638,81.73251533594673,754,False,26.473784755424333,26.495467623701913,999.0,26.039563071481066,24.210897935808166,25.283096353907663,5.739781456217629,1.0479518510242465
86,752,15965,747,False,38.29029633129019,149.39119829150854,81.08777424354801,754,False,26.385274101646495,26.526165761826718,999.0,26.051710216711804,24.209370854395477,25.276393715735214,5.73441041101694,1.0494442387686613
86,752,15966,747,False,38.36233586495297,149.32064823806627,80.45650050873654,754,False,26.296009220584303,26.557720197138394,999.0,26.063749015502037,24.20783125504896,25.26946475802016,5.729054870396974,1.0509807172987058
86,752,15967,747,False,38.43446005253898,149.24955309139958,79.83348959455826,754,False,26.205977019057975,26.57477549838083,999.0,26.07578971425637,24.206279138564675,25.26239655900217,5.72368295368637,1.051949898589926
86,752,15968,747,False,39.92018816136751,150.46189484458165,67.28600110514718,754,False,26.115500407571304,26.607631018963893,999.0,26.087640959084396,23.851486448884625,25.25509358994211,5.767554647066963,1.053555035312181
86,752,15969,747,False,39.99759766945807,150.3962240936603,66.8063293511172,754,False,26.02507911198287,26.6353950862768,999.0,26.099313276664827,23.848086101718337,25.24765777142582,5.762459053975504,1.0549649922941193
86,752,15970,747,False,40.07607285556853,150.3240744161845,66.32265544930185,754,False,25.933292495371546,26.669835151415448,999.0,26.111001026969216,23.844444095588585,25.23998100303978,5.757116483620049,1.0566503654738673
86,752,15971,747,False,40.15393548804992,150.2512831117873,65.8489488161322,754,False,25.841621093820393,26.70533582973124,999.0,26.122611194195393,23.840854449204233,25.23226490930477,5.751771214401954,1.0583804476419891
86,752,15972,747,False,40.23244583077601,150.17824653164845,65.37714666549354,754,False,25.74971758553685,26.74138609198083,999.0,26.134243268982658,23.837137105875765,25.224525520620436,5.746416492184681,1.060134354960231
86,752,15973,747,False,40.311025293213106,150.10469056634824,64.91014451819922,754,False,25.657348634910555,26.778279210671855,999.0,26.145791638670634,23.8332919257134,25.216632666449335,5.741065049426066,1.0619292260342232
86,752,15974,747,False,40.389672454733876,150.03069316696428,64.44878563826857,754,False,25.564870123453275,26.815733441304815,999.0,26.157339136590124,23.829433471942835,25.20872075330971,5.735701647003316,1.0637482839260741
86,752,15975,747,False,40.46836603741243,149.95616984440275,63.9930357682761,754,False,25.47207119769446,26.85403075763668,999.0,26.168881891883537,23.82556174705706,25.20074699977582,5.730323919223798,1.0656045536219845
86,752,15976,747,False,40.5474907281982,149.88140814029992,63.540293006726614,754,False,25.379718940567756,26.892956493830127,999.0,26.180419095635816,23.821578727612444,25.192854777085056,5.724943042080049,1.0674834881472604
86,752,15977,747,False,40.626813436696814,149.80591796698153,63.09292237126429,754,False,25.286669014261456,26.91861212945379,999.0,26.19205010048454,23.8176804828361,25.1849106251674,5.719518609358883,1.0688388984217356
86,752,15978,747,False,40.70613720877149,149.7302985500777,62.65136700572821,754,False,25.194412286842727,26.959053025752993,999.0,26.203674174944226,23.813777422389922,25.17711211037966,5.714095571118373,1.0707762235621416
86,752,15979,747,False,40.786523670606734,149.65394427626237,62.21032540833374,754,False,25.101073982027245,27.000613075130985,999.0,26.21549074638338,23.809878120280406,25.16927071312939,5.708607392631329,1.072761041941763
86,752,15980,747,False,40.867521003484065,149.57745138891215,61.77205948180309,754,False,25.00815741753013,27.042296646593087,999.0,26.22739910826822,23.805957235620685,25.16158650074844,5.703098914667359,1.0747452926224943
86,752,15981,747,False,40.94918550959681,149.50022349433013,61.33694164021918,754,False,24.915053700830732,27.0850339214075,999.0,26.239498502213063,23.80213825084537,25.154026800039055,5.697525944778294,1.0767673158941473
